City,Mode,Output,Variable,Pearson_r,Spearman_r,SRC,PRCC,abs_Pearson_r,abs_Spearman_r,abs_SRC,abs_PRCC
Fresno,Liquid Truck,Total Cost,Cab Cost,0.01938091774595399,0.017538321141374175,0.0196117679785675,0.01767279278993276,0.01938091774595399,0.017538321141374175,0.0196117679785675,0.01767279278993276
Fresno,Liquid Truck,Total Cost,Fuel Economy,-0.016471820722181365,-0.01557942573804635,-0.01587324436065412,-0.015040106368773547,0.016471820722181365,0.01557942573804635,0.01587324436065412,0.015040106368773547
Fresno,Liquid Truck,Total Cost,Electricity's CI,0.007493172506709871,0.005864857971065716,0.007699812822035804,0.006035196882540464,0.007493172506709871,0.005864857971065716,0.007699812822035804,0.006035196882540464
Fresno,Liquid Truck,Total Cost,Hydrogen Fuel's CI,0.001869169363375002,0.0010279123446283124,0.0014469267436546863,0.0006994591705073972,0.001869169363375002,0.0010279123446283124,0.0014469267436546863,0.0006994591705073972
Fresno,Liquid Truck,Total Cost,Electricity Cost,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total Cost,Liquid Leakage,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total Cost,Transmission Length,,,-3.469446951953614e-18,,,,3.469446951953614e-18,
Fresno,Liquid Truck,Total Cost,Liquid Station Leakage,,,-4.336808689942018e-19,,,,4.336808689942018e-19,
Fresno,Liquid Truck,Total Cost,Liquid Transmission Leakge,,,4.336808689942018e-19,,,,4.336808689942018e-19,
Fresno,Liquid Truck,Total Cost,Liquid Capital Cost,,,4.203895392974451e-45,,,,4.203895392974451e-45,
Fresno,Liquid Truck,Total Cost,Compressor Liquid Cost,,,3.0828566215145976e-44,,,,3.0828566215145976e-44,
Fresno,Liquid Truck,Total Cost,Station Capital Cost,,,1.2446030555722283e-60,,,,1.2446030555722283e-60,
Fresno,Liquid Truck,Total Cost,Pipeline Capital Cost,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total Cost,Liquefaction Efficiency,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total Cost,Compression Efficiency,,,0.0,,,,0.0,
Fresno,Liquid Truck,Total GHG Cost,Electricity's CI,0.999986091490497,0.9999855586987817,0.9999446662893123,0.9999959758118269,0.999986091490497,0.9999855586987817,0.9999446662893123,0.9999959758118269
Fresno,Liquid Truck,Total GHG Cost,Cab Cost,-0.017417787886051406,-0.017466048161694676,4.245158514261551e-05,0.012014552589790322,0.017417787886051406,0.017466048161694676,4.245158514261551e-05,0.012014552589790322
