New Haven High Demand,,,,Fresno High Demand,,,,Atlanta High Demand,,,,Miami High Demand,,
Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines,,Gas Trucks,Liquid Trucks,Pipelines
4.18602614,4.79775371,4.06238834,,3.66924098,4.75961902,3.53135393,,4.05913893,3.79174978,2.72190874,,3.84784409,4.39047497,2.47270917
3.81470328,4.81083314,3.98752815,,4.26500054,4.75026781,3.67169508,,3.98041344,3.70490475,2.75765802,,4.47074549,4.26421247,2.69772783
3.7170595,4.77790299,3.94146349,,3.46951487,3.11870152,3.5547656,,4.1218227,3.63744723,2.79096347,,3.63805712,2.75817438,2.45221839
3.90571879,3.28464733,3.88589174,,3.82034316,4.3617322,3.66239857,,3.93700696,3.2117671,2.64020645,,4.00069294,3.98131156,2.60662732
3.84370075,3.34890986,3.65338531,,3.78658071,4.50395492,3.73588401,,4.1272454,3.75008896,2.94539794,,3.93795396,4.10162053,2.71474064
3.86473228,5.05726867,4.06849816,,4.32738757,4.57222131,3.6242408,,4.47719483,4.41722678,2.89148344,,4.56541748,4.08235501,2.63523539
3.82227713,4.5351019,4.01811804,,4.15416992,4.94163647,3.79742496,,3.73517351,3.00629181,2.4905954,,4.34543701,4.48247807,2.82382099
3.75629868,4.19677562,3.92701863,,3.94714238,4.98856686,3.73665603,,3.69982413,2.92646674,2.49801255,,4.13161636,4.47981558,2.70883317
3.92795986,4.99255282,4.03908161,,3.82230237,4.43387143,3.42587907,,4.33326072,3.78129484,2.69255218,,4.03363217,3.96322404,2.36310147
3.83587738,3.89591883,3.77664436,,3.92526386,4.47271011,3.72032372,,4.63176361,4.3405319,3.08478029,,4.12321242,4.02856054,2.68710918
3.60218129,2.95869559,3.5452632,,3.85112606,3.47875617,3.59668791,,4.41173203,3.7794708,2.84918091,,4.05486563,3.1115528,2.4922475
3.5848132,4.65255117,3.80079637,,3.50305859,4.09710165,3.5469439,,3.75279814,3.39097585,2.66468371,,3.67164483,3.65127025,2.47602955
3.55450041,3.60819191,3.6698129,,4.18388097,4.58563314,3.68368545,,4.02595003,3.83070364,2.85936334,,4.41477362,4.14522043,2.63034254
3.42899633,3.40442065,3.65874228,,3.59044823,4.10591765,3.52278501,,3.68410736,3.21724807,2.4329647,,3.76922807,3.71598133,2.47074754
3.77569393,3.62870548,3.77703235,,4.04395097,4.64507659,3.71905644,,3.81303295,2.71569012,2.45245368,,4.22533769,4.19409513,2.78098014
3.99806901,4.12776214,3.86216689,,3.48537515,2.83773044,3.28116253,,3.94763284,3.17792593,2.48608945,,3.68818429,2.46645514,2.12327644
